sigma,NBBg_R,NBBg_a,NBBg_kD,NBBg_kE
0.2,2.435145152,0.003534028,1.75711164,5.32116699
0.2,2.452582015,0.003589851,1.178342033,7.343979363
0.2,2.742010604,0.003767983,0.81176241,20.16285345
0.2,2.735383007,0.003642011,0.561747375,9.196922502
0.2,3.127125031,0.004388834,1.623485549,11.03535072
0.2,2.583240017,0.003721833,0.631607716,13.91586891
0.2,2.753160331,0.003683915,2129.201274,9.49707822
0.2,2.282635701,0.003005142,3.967062531,11.85053162
0.2,2.496772213,0.003386697,0.441781947,187.8950694
0.2,2.771569142,0.003485576,1.621933901,8.757596742
0.2,2.580082134,0.003914354,1.695659364,16.20380477
0.2,2.625979996,0.003703961,0.734515059,9.179000946
0.2,2.780141652,0.003828684,2845.152091,8.834722764
0.2,2.819850326,0.004057626,2.080712325,12.62749982
0.2,2.492782557,0.003757161,0.815652485,8.536426547
0.2,2.979282714,0.003743849,1.334849708,7.917208935
0.2,3.052620743,0.003934581,2.370016211,9.44541897
0.2,2.349560433,0.003220425,2.262480542,5.198129601
0.2,3.245170328,0.003990798,2.426390293,7.486201009
0.2,2.807208451,0.003373854,1.063841576,12.40348393
0.2,2.725932322,0.004102365,4.378571219,14.2887791
0.2,2.505774492,0.003210203,1.869338949,7.210633232
0.2,2.621204227,0.0033441,1.235472591,9.618762128
0.2,2.301197148,0.003480078,0.418412781,10.6887919
0.2,2.251785683,0.003090321,0.731850199,9.064852955
0.2,2.376220952,0.003272669,0.72931501,4.080994004
0.2,2.708345708,0.003451529,1.079821964,8.657626146
0.2,2.579508599,0.003411993,1.633978001,5.320334891
0.2,2.670125793,0.003409506,665.7508179,6.199899737
0.2,2.960097262,0.004049714,0.919703135,11.42858685
0.2,2.344415738,0.003175828,1.028781861,8.133250826
0.2,2.621777897,0.003720334,3.804120661,7.71688398
0.2,2.677029204,0.003885656,0.928744883,9.198282168
0.2,2.340627687,0.003485342,6.42662338,11.52308115
0.2,2.610338361,0.002985021,9.825103907,10.03340166
0.2,2.484634246,0.003795269,1.643591622,8.510644308
0.2,2.305759702,0.003182987,0.594281015,8.540812317
0.2,2.748673986,0.004331748,0.86579892,16.02098588
0.25,2.757682999,0.002946696,0.708572706,3.759532332
0.25,2.790603859,0.003556804,0.687665076,11.27511115
0.25,2.414400236,0.00356425,0.633880799,18.25365329
0.25,3.209034422,0.004112979,0.745273171,7.043068986
0.25,2.897662331,0.003521822,2.076640685,6.05943161
0.25,2.939024991,0.003871413,0.579692814,11.01280206
0.25,2.709018138,0.003054118,3.007221414,5.734094044
0.25,2.651421377,0.003274966,1.480381191,5.914536325
0.25,3.000269743,0.003807832,0.716188467,8.226205078
0.25,2.293223152,0.003063377,1.258139657,7.130439841
0.25,2.841522796,0.003901001,1.749915278,5.984310128
0.25,2.831850212,0.003233415,8.799711176,11.38465174
0.25,3.014237447,0.003742329,1874.573946,6.244795099
0.25,2.854121082,0.003831464,1.048874392,12.42495648
0.25,2.941112702,0.004007467,4.876702452,4.295476784
0.25,2.153252487,0.002994863,0.993392661,4.285304252
0.25,2.405285055,0.003682603,1.982572854,6.320053309
0.25,2.989154328,0.004127815,0.579073321,129.1714388
0.25,2.834664241,0.002898306,8.779334971,2.687444155
0.25,2.861234743,0.003584323,0.89619636,8.413461846
0.25,2.149611921,0.003224089,1.601938311,7.50792014
0.25,2.945707756,0.003708386,0.489250459,7.471598105
0.25,2.2874131,0.003029357,3.701682821,9.265660813
0.25,2.637791217,0.003103848,1.687316595,5.090140917
0.25,2.618823825,0.003808374,8.326608699,4.267424156
0.25,2.92381595,0.003651201,0.975117459,4.778461319
0.25,2.680630948,0.003273922,8.115509729,3.673443151
0.25,2.234610684,0.002313932,2.090150976,4.355321869
0.25,2.388003935,0.003311726,0.866566804,6.44459659
0.25,2.565071752,0.003093262,2.059987937,5.137648671
0.25,3.01530816,0.003833642,0.732386862,12.02085288
0.25,2.353951986,0.003159998,0.842164724,6.774942407
0.25,2.925333945,0.003726685,1.662279247,5.349553763
